实体ID,实体名称,实体类型
283,1458.0,患者
284,1459.0,患者
285,1460.0,患者
286,1462.0,患者
287,1463.0,患者
288,1464.0,患者
289,1465.0,患者
290,1466.0,患者
291,1467.0,患者
292,1469.0,患者
293,1470.0,患者
294,1471.0,患者
295,1472.0,患者
296,1473.0,患者
297,1474.0,患者
298,1475.0,患者
299,1476.0,患者
300,1477.0,患者
301,1478.0,患者
302,1479.0,患者
303,1480.0,患者
304,1483.0,患者
305,1488.0,患者
306,1490.0,患者
307,1491.0,患者
308,1492.0,患者
309,1493.0,患者
310,1494.0,患者
311,1495.0,患者
312,1496.0,患者
313,1497.0,患者
314,1498.0,患者
315,1499.0,患者
316,1500.0,患者
317,1501.0,患者
318,1502.0,患者
319,1506.0,患者
320,1507.0,患者
321,1508.0,患者
322,1509.0,患者
323,1511.0,患者
324,1512.0,患者
325,1513.0,患者
326,1514.0,患者
327,1515.0,患者
328,1517.0,患者
329,1518.0,患者
330,1519.0,患者
331,1520.0,患者
332,1522.0,患者
333,1523.0,患者
334,1525.0,患者
335,1527.0,患者
336,1528.0,患者
337,1529.0,患者
338,1530.0,患者
339,1531.0,患者
340,1532.0,患者
341,1535.0,患者
342,1536.0,患者
343,1538.0,患者
344,1539.0,患者
345,1540.0,患者
346,1541.0,患者
347,1542.0,患者
348,1543.0,患者
349,1544.0,患者
350,1545.0,患者
351,1546.0,患者
352,1547.0,患者
353,1548.0,患者
354,1549.0,患者
355,1550.0,患者
356,1553.0,患者
357,1554.0,患者
358,1555.0,患者
359,1556.0,患者
360,1557.0,患者
361,1558.0,患者
362,1559.0,患者
363,1560.0,患者
364,1561.0,患者
365,1562.0,患者
366,1563.0,患者
367,1564.0,患者
368,1565.0,患者
369,1566.0,患者
370,1567.0,患者
371,1568.0,患者
372,1569.0,患者
373,1570.0,患者
374,1571.0,患者
375,1572.0,患者
376,1573.0,患者
377,1574.0,患者
378,1575.0,患者
379,1576.0,患者
380,1577.0,患者
381,1578.0,患者
382,1579.0,患者
383,1580.0,患者
384,1581.0,患者
385,1583.0,患者
386,1585.0,患者
387,1588.0,患者
388,1589.0,患者
389,1591.0,患者
390,1592.0,患者
391,1593.0,患者
392,1594.0,患者
393,1595.0,患者
394,1597.0,患者
395,1599.0,患者
396,1601.0,患者
397,1602.0,患者
398,1603.0,患者
399,1607.0,患者
400,1608.0,患者
401,1609.0,患者
402,1610.0,患者
403,1612.0,患者
404,1614.0,患者
405,1615.0,患者
406,1617.0,患者
407,1618.0,患者
408,1619.0,患者
409,1620.0,患者
410,1621.0,患者
411,1624.0,患者
412,1625.0,患者
413,1626.0,患者
414,1627.0,患者
415,1628.0,患者
416,1629.0,患者
417,1631.0,患者
418,1632.0,患者
419,1633.0,患者
420,1634.0,患者
421,1635.0,患者
422,1636.0,患者
423,1637.0,患者
424,1639.0,患者
425,1640.0,患者
426,1641.0,患者
427,1642.0,患者
428,1643.0,患者
429,1644.0,患者
430,1648.0,患者
431,1649.0,患者
432,1650.0,患者
433,1653.0,患者
434,1654.0,患者
435,1656.0,患者
436,1658.0,患者
437,1659.0,患者
438,1660.0,患者
439,1661.0,患者
440,1662.0,患者
441,1663.0,患者
442,1664.0,患者
443,1665.0,患者
444,1666.0,患者
445,1667.0,患者
446,1669.0,患者
447,1670.0,患者
448,1671.0,患者
449,1672.0,患者
450,1673.0,患者
451,1675.0,患者
452,1676.0,患者
453,1677.0,患者
454,1679.0,患者
455,1680.0,患者
456,1682.0,患者
457,1686.0,患者
458,1687.0,患者
459,1689.0,患者
460,1690.0,患者
461,1691.0,患者
462,1692.0,患者
463,1693.0,患者
464,1694.0,患者
465,1695.0,患者
466,1696.0,患者
467,1697.0,患者
468,1698.0,患者
469,1699.0,患者
470,1700.0,患者
471,1701.0,患者
472,1702.0,患者
473,1703.0,患者
474,1704.0,患者
475,1705.0,患者
476,1706.0,患者
477,1708.0,患者
478,1710.0,患者
479,1711.0,患者
480,1712.0,患者
481,1713.0,患者
482,1714.0,患者
483,1715.0,患者
484,1716.0,患者
485,1717.0,患者
486,1718.0,患者
487,1719.0,患者
488,1721.0,患者
489,1723.0,患者
490,1726.0,患者
491,1727.0,患者
492,1728.0,患者
493,1730.0,患者
494,1731.0,患者
495,1732.0,患者
496,1733.0,患者
497,1734.0,患者
498,1735.0,患者
499,1736.0,患者
500,1737.0,患者
501,1739.0,患者
502,1740.0,患者
503,1741.0,患者
504,1742.0,患者
505,1743.0,患者
506,1744.0,患者
507,1745.0,患者
508,1746.0,患者
509,1747.0,患者
510,1748.0,患者
511,1749.0,患者
512,1750.0,患者
513,1751.0,患者
514,1752.0,患者
515,1753.0,患者
516,1754.0,患者
517,1755.0,患者
518,1756.0,患者
519,1757.0,患者
520,1758.0,患者
521,1759.0,患者
522,1760.0,患者
523,1762.0,患者
524,1763.0,患者
525,1764.0,患者
526,1765.0,患者
527,1767.0,患者
528,1768.0,患者
529,1769.0,患者
530,1772.0,患者
531,1774.0,患者
532,1775.0,患者
533,1776.0,患者
534,1777.0,患者
535,1778.0,患者
536,1779.0,患者
537,1780.0,患者
538,1781.0,患者
539,1782.0,患者
540,1783.0,患者
541,1784.0,患者
542,1785.0,患者
543,1786.0,患者
544,1787.0,患者
545,1788.0,患者
546,1789.0,患者
547,1790.0,患者
548,1792.0,患者
549,1793.0,患者
550,1794.0,患者
551,1798.0,患者
552,1799.0,患者
553,1800.0,患者
554,1801.0,患者
555,1802.0,患者
556,1803.0,患者
557,1804.0,患者
558,1806.0,患者
559,1807.0,患者
560,1808.0,患者
561,1809.0,患者
562,1810.0,患者
563,1811.0,患者
564,1813.0,患者
565,1814.0,患者
566,1815.0,患者
567,1817.0,患者
568,1819.0,患者
569,1821.0,患者
570,1822.0,患者
571,1824.0,患者
572,1825.0,患者
573,1826.0,患者
574,1827.0,患者
575,1828.0,患者
576,1829.0,患者
577,1830.0,患者
578,1832.0,患者
579,1833.0,患者
580,1835.0,患者
581,1836.0,患者
582,1838.0,患者
583,1839.0,患者
584,1840.0,患者
585,1841.0,患者
586,1842.0,患者
587,1843.0,患者
588,1844.0,患者
589,1847.0,患者
590,1848.0,患者
591,1849.0,患者
592,1851.0,患者
593,1852.0,患者
594,1853.0,患者
595,1854.0,患者
596,1855.0,患者
597,1859.0,患者
598,1860.0,患者
599,1862.0,患者
600,1863.0,患者
601,1864.0,患者
602,1865.0,患者
603,1867.0,患者
604,1868.0,患者
605,1870.0,患者
606,1871.0,患者
607,1872.0,患者
608,1874.0,患者
609,1875.0,患者
610,1876.0,患者
611,1877.0,患者
612,1880.0,患者
613,1881.0,患者
614,1882.0,患者
615,1883.0,患者
616,1884.0,患者
617,1885.0,患者
618,1886.0,患者
619,1887.0,患者
620,1889.0,患者
621,1890.0,患者
622,1891.0,患者
623,1892.0,患者
624,1893.0,患者
625,1894.0,患者
626,1895.0,患者
627,1896.0,患者
628,1897.0,患者
629,1898.0,患者
630,1899.0,患者
631,1901.0,患者
632,1902.0,患者
633,1903.0,患者
634,1904.0,患者
635,1905.0,患者
636,1906.0,患者
637,1907.0,患者
638,1908.0,患者
639,1909.0,患者
640,1910.0,患者
641,1911.0,患者
642,1912.0,患者
643,1913.0,患者
644,1914.0,患者
645,1915.0,患者
646,1916.0,患者
647,1917.0,患者
648,1918.0,患者
649,1920.0,患者
650,1921.0,患者
651,1922.0,患者
652,1923.0,患者
653,1924.0,患者
654,1925.0,患者
655,1926.0,患者
656,1928.0,患者
657,1929.0,患者
658,1930.0,患者
659,1931.0,患者
660,1932.0,患者
661,1933.0,患者
662,1934.0,患者
663,1935.0,患者
664,1936.0,患者
665,1937.0,患者
666,1939.0,患者
667,1940.0,患者
668,1941.0,患者
669,1942.0,患者
670,1943.0,患者
671,1944.0,患者
672,1946.0,患者
673,1947.0,患者
674,1948.0,患者
675,1949.0,患者
676,1950.0,患者
677,1951.0,患者
678,1952.0,患者
679,1953.0,患者
680,1954.0,患者
681,1955.0,患者
682,1956.0,患者
683,1957.0,患者
684,1958.0,患者
685,1959.0,患者
686,1960.0,患者
687,1962.0,患者
688,1964.0,患者
689,1965.0,患者
690,1966.0,患者
691,1967.0,患者
692,1968.0,患者
693,1969.0,患者
694,1970.0,患者
695,1971.0,患者
696,1972.0,患者
697,1973.0,患者
698,1974.0,患者
699,1976.0,患者
700,1977.0,患者
701,1978.0,患者
702,1979.0,患者
703,1980.0,患者
704,1981.0,患者
705,1982.0,患者
706,1983.0,患者
707,1985.0,患者
708,1986.0,患者
709,1987.0,患者
710,1988.0,患者
711,1989.0,患者
712,1990.0,患者
713,1991.0,患者
714,1992.0,患者
715,1994.0,患者
716,1995.0,患者
717,1996.0,患者
718,1997.0,患者
719,1998.0,患者
720,1999.0,患者
721,2000.0,患者
722,2001.0,患者
723,2002.0,患者
724,2003.0,患者
725,2004.0,患者
726,2005.0,患者
727,2006.0,患者
728,2007.0,患者
729,2008.0,患者
730,2009.0,患者
731,2010.0,患者
732,2011.0,患者
733,2012.0,患者
734,2013.0,患者
735,2014.0,患者
736,2015.0,患者
737,2016.0,患者
738,2017.0,患者
739,2018.0,患者
740,2019.0,患者
741,2020.0,患者
742,2021.0,患者
743,2023.0,患者
744,2024.0,患者
745,2026.0,患者
746,2027.0,患者
747,2028.0,患者
748,2029.0,患者
749,2030.0,患者
750,2031.0,患者
751,2032.0,患者
752,2033.0,患者
753,2034.0,患者
754,2035.0,患者
755,2036.0,患者
756,2037.0,患者
757,2038.0,患者
758,2039.0,患者
759,2040.0,患者
760,2041.0,患者
761,2042.0,患者
762,2044.0,患者
763,2045.0,患者
764,2046.0,患者
765,2047.0,患者
766,2048.0,患者
767,2050.0,患者
768,2051.0,患者
769,2052.0,患者
770,2053.0,患者
771,2054.0,患者
772,2056.0,患者
773,2058.0,患者
774,2059.0,患者
775,2061.0,患者
776,2062.0,患者
777,2063.0,患者
778,2064.0,患者
779,2066.0,患者
780,2067.0,患者
781,2068.0,患者
782,2069.0,患者
783,2070.0,患者
784,2071.0,患者
785,2072.0,患者
786,2073.0,患者
787,2074.0,患者
788,2076.0,患者
789,2077.0,患者
790,2078.0,患者
791,2079.0,患者
792,2080.0,患者
793,2081.0,患者
794,2082.0,患者
795,2083.0,患者
796,2084.0,患者
797,2086.0,患者
798,2087.0,患者
799,2088.0,患者
800,2089.0,患者
801,2090.0,患者
802,2091.0,患者
803,2092.0,患者
804,2093.0,患者
805,2094.0,患者
806,2095.0,患者
807,2096.0,患者
808,2097.0,患者
809,2098.0,患者
810,2099.0,患者
811,2100.0,患者
812,2102.0,患者
813,2103.0,患者
814,2104.0,患者
815,2105.0,患者
816,2106.0,患者
817,2107.0,患者
818,2108.0,患者
819,2109.0,患者
820,2110.0,患者
821,2111.0,患者
822,2112.0,患者
823,2113.0,患者
824,2114.0,患者
825,2115.0,患者
826,2116.0,患者
827,2117.0,患者
828,2118.0,患者
829,2119.0,患者
830,2120.0,患者
831,2121.0,患者
832,2122.0,患者
833,2123.0,患者
834,2124.0,患者
835,2125.0,患者
836,2126.0,患者
837,2127.0,患者
838,2128.0,患者
839,2129.0,患者
840,2130.0,患者
841,2131.0,患者
842,2132.0,患者
843,2134.0,患者
844,2135.0,患者
845,2137.0,患者
846,2138.0,患者
847,2139.0,患者
848,2140.0,患者
849,2141.0,患者
850,2142.0,患者
851,2144.0,患者
852,2145.0,患者
853,2146.0,患者
854,2147.0,患者
855,2149.0,患者
856,2150.0,患者
857,2151.0,患者
858,2152.0,患者
859,2153.0,患者
860,2154.0,患者
861,2155.0,患者
862,2159.0,患者
863,2160.0,患者
864,2161.0,患者
865,2162.0,患者
866,2163.0,患者
867,2164.0,患者
868,2165.0,患者
869,2166.0,患者
870,2167.0,患者
871,2170.0,患者
872,2171.0,患者
873,2173.0,患者
874,2174.0,患者
875,2175.0,患者
876,2176.0,患者
877,2177.0,患者
878,2179.0,患者
879,2181.0,患者
880,2182.0,患者
881,2183.0,患者
882,2184.0,患者
883,2185.0,患者
884,2186.0,患者
885,2187.0,患者
886,2188.0,患者
887,2189.0,患者
888,2190.0,患者
889,2191.0,患者
890,2192.0,患者
891,2193.0,患者
892,2194.0,患者
893,2196.0,患者
894,2197.0,患者
895,2198.0,患者
896,2199.0,患者
897,2200.0,患者
898,2201.0,患者
899,2202.0,患者
900,2204.0,患者
901,2206.0,患者
902,2207.0,患者
903,2208.0,患者
904,2209.0,患者
905,2210.0,患者
906,2211.0,患者
907,2212.0,患者
908,2214.0,患者
909,2215.0,患者
910,2216.0,患者
911,2217.0,患者
912,2218.0,患者
913,2219.0,患者
914,2220.0,患者
915,2221.0,患者
916,2222.0,患者
917,2223.0,患者
918,2224.0,患者
919,2225.0,患者
920,2226.0,患者
921,2227.0,患者
922,2228.0,患者
923,2229.0,患者
924,2230.0,患者
925,2231.0,患者
926,2232.0,患者
927,2234.0,患者
928,2235.0,患者
929,2236.0,患者
930,2238.0,患者
931,2239.0,患者
932,2241.0,患者
933,2242.0,患者
934,2243.0,患者
935,2244.0,患者
936,2245.0,患者
937,2246.0,患者
938,2247.0,患者
939,2248.0,患者
940,2249.0,患者
941,2250.0,患者
942,2251.0,患者
943,2252.0,患者
944,2253.0,患者
945,2255.0,患者
946,2256.0,患者
947,2257.0,患者
948,2259.0,患者
949,2261.0,患者
950,2262.0,患者
951,2264.0,患者
952,2265.0,患者
953,2266.0,患者
954,2267.0,患者
955,2268.0,患者
956,2269.0,患者
957,2270.0,患者
958,2271.0,患者
959,2272.0,患者
960,2273.0,患者
961,2274.0,患者
962,2275.0,患者
963,2276.0,患者
964,2277.0,患者
965,2278.0,患者
966,2279.0,患者
967,2281.0,患者
968,2282.0,患者
969,2283.0,患者
970,2284.0,患者
971,2285.0,患者
972,2286.0,患者
973,2287.0,患者
974,2289.0,患者
975,2290.0,患者
976,2291.0,患者
977,2292.0,患者
978,2295.0,患者
979,2296.0,患者
980,2297.0,患者
981,2298.0,患者
982,2300.0,患者
983,2302.0,患者
984,2303.0,患者
985,2304.0,患者
986,2305.0,患者
987,2306.0,患者
988,2307.0,患者
989,2309.0,患者
990,2313.0,患者
991,2316.0,患者
992,2318.0,患者
993,2319.0,患者
994,2320.0,患者
995,2321.0,患者
996,2322.0,患者
997,2323.0,患者
998,2324.0,患者
999,2325.0,患者
1000,2326.0,患者
1001,2327.0,患者
1002,2328.0,患者
1003,2329.0,患者
1004,2330.0,患者
1005,2331.0,患者
1006,2332.0,患者
1007,2334.0,患者
1008,2336.0,患者
1009,2337.0,患者
1010,2338.0,患者
1011,2339.0,患者
1012,2340.0,患者
1013,2342.0,患者
1014,2344.0,患者
1015,2346.0,患者
1016,2347.0,患者
1017,2348.0,患者
1018,2350.0,患者
1019,2351.0,患者
1020,2352.0,患者
1021,2353.0,患者
1022,2354.0,患者
1023,2355.0,患者
1024,2356.0,患者
1025,2357.0,患者
1026,2359.0,患者
1027,2360.0,患者
1028,2361.0,患者
1029,2363.0,患者
1030,2364.0,患者
1031,2365.0,患者
1032,2366.0,患者
1033,2368.0,患者
1034,2370.0,患者
1035,2374.0,患者
1036,2375.0,患者
1037,2376.0,患者
1038,2377.0,患者
1039,2378.0,患者
1040,2379.0,患者
1041,2380.0,患者
1042,2381.0,患者
1043,2383.0,患者
1044,2384.0,患者
1045,2385.0,患者
1046,2386.0,患者
1047,2387.0,患者
1048,2388.0,患者
1049,2389.0,患者
1050,2390.0,患者
1051,2391.0,患者
1052,2392.0,患者
1053,2393.0,患者
1054,2394.0,患者
1055,2395.0,患者
1056,2396.0,患者
1057,2398.0,患者
1058,2399.0,患者
1059,2400.0,患者
1060,2401.0,患者
1061,2402.0,患者
1062,2403.0,患者
1063,2404.0,患者
1064,2405.0,患者
1065,2407.0,患者
1066,2408.0,患者
1067,2409.0,患者
1068,2410.0,患者
1069,2412.0,患者
1070,2413.0,患者
1071,2414.0,患者
1072,2415.0,患者
1073,2416.0,患者
1074,2417.0,患者
1075,2418.0,患者
1076,2419.0,患者
1077,2420.0,患者
1078,2421.0,患者
1079,2422.0,患者
1080,2423.0,患者
1081,2424.0,患者
1082,2425.0,患者
1083,2426.0,患者
1084,2427.0,患者
1085,2428.0,患者
1086,2429.0,患者
1087,2431.0,患者
1088,2433.0,患者
1089,2435.0,患者
1090,2436.0,患者
1091,2437.0,患者
1092,2438.0,患者
1093,2439.0,患者
1094,2440.0,患者
1095,2441.0,患者
1096,2442.0,患者
1097,2443.0,患者
1098,2444.0,患者
1099,2445.0,患者
1100,2446.0,患者
1101,2447.0,患者
1102,2448.0,患者
1103,2449.0,患者
1104,2450.0,患者
1105,2452.0,患者
1106,2453.0,患者
1107,2454.0,患者
1108,2455.0,患者
1109,2456.0,患者
1110,2457.0,患者
1111,2458.0,患者
1112,2459.0,患者
1113,2460.0,患者
1114,2461.0,患者
1115,2464.0,患者
1116,2465.0,患者
1117,2466.0,患者
1118,2467.0,患者
1119,2468.0,患者
1120,2469.0,患者
1121,2470.0,患者
1122,2471.0,患者
1123,2472.0,患者
1124,2473.0,患者
1125,2474.0,患者
1126,2475.0,患者
1127,2476.0,患者
1128,2477.0,患者
1129,2478.0,患者
1130,2479.0,患者
1131,2480.0,患者
1132,2481.0,患者
1133,2482.0,患者
1134,2483.0,患者
1135,2484.0,患者
1136,2485.0,患者
1137,2487.0,患者
1138,2488.0,患者
1139,2490.0,患者
1140,2491.0,患者
1141,2492.0,患者
1142,2493.0,患者
1143,2494.0,患者
1144,2495.0,患者
1145,2496.0,患者
1146,2497.0,患者
1147,2499.0,患者
1148,2500.0,患者
1149,2501.0,患者
1150,2502.0,患者
1151,2503.0,患者
1152,2504.0,患者
1153,2505.0,患者
1154,2506.0,患者
1155,2507.0,患者
1156,2508.0,患者
1157,2509.0,患者
1158,2510.0,患者
1159,2511.0,患者
1160,2512.0,患者
1161,2513.0,患者
1162,2514.0,患者
1163,2515.0,患者
1164,2516.0,患者
1165,2517.0,患者
1166,2518.0,患者
1167,2519.0,患者
1168,2520.0,患者
1169,2521.0,患者
1170,2522.0,患者
1171,2523.0,患者
1172,2525.0,患者
1173,2526.0,患者
1174,2527.0,患者
1175,2528.0,患者
1176,2529.0,患者
1177,2530.0,患者
1178,2531.0,患者
1179,2532.0,患者
1180,2533.0,患者
1181,2534.0,患者
1182,2535.0,患者
1183,2536.0,患者
1184,2537.0,患者
1185,2538.0,患者
1186,2539.0,患者
1187,2540.0,患者
1188,2541.0,患者
1189,2542.0,患者
1190,2543.0,患者
1191,2544.0,患者
1192,2545.0,患者
1193,2547.0,患者
1194,2548.0,患者
1195,2549.0,患者
1196,2551.0,患者
1197,2552.0,患者
1198,2553.0,患者
1199,2554.0,患者
1200,2555.0,患者
1201,2556.0,患者
1202,2557.0,患者
1203,2558.0,患者
1204,2559.0,患者
1205,2560.0,患者
1206,2561.0,患者
1207,2562.0,患者
1208,2563.0,患者
1209,2564.0,患者
1210,2565.0,患者
1211,2568.0,患者
1212,2569.0,患者
1213,2571.0,患者
1214,2572.0,患者
1215,2573.0,患者
1216,2574.0,患者
1217,2575.0,患者
1218,2576.0,患者
1219,2577.0,患者
1220,2578.0,患者
1221,2580.0,患者
1222,2581.0,患者
1223,2582.0,患者
1224,2583.0,患者
1225,2584.0,患者
1226,2585.0,患者
1227,2586.0,患者
1228,2588.0,患者
1229,2589.0,患者
1230,2591.0,患者
1231,2592.0,患者
1232,2593.0,患者
1233,2596.0,患者
1234,2597.0,患者
1235,2598.0,患者
1236,2599.0,患者
1237,2600.0,患者
1238,2601.0,患者
1239,2602.0,患者
1240,2603.0,患者
1241,2604.0,患者
1242,2605.0,患者
1243,2606.0,患者
1244,2607.0,患者
1245,2608.0,患者
1246,2609.0,患者
1247,2610.0,患者
1248,2611.0,患者
1249,2612.0,患者
1250,2613.0,患者
1251,2614.0,患者
1252,2615.0,患者
1253,2616.0,患者
1254,2617.0,患者
1255,2618.0,患者
1256,2619.0,患者
1257,2623.0,患者
1258,2624.0,患者
1259,2625.0,患者
1260,2626.0,患者
1261,2627.0,患者
1262,2629.0,患者
1263,2630.0,患者
1264,2631.0,患者
1265,2632.0,患者
1266,2634.0,患者
1267,2635.0,患者
1268,2636.0,患者
1269,2637.0,患者
1270,2638.0,患者
1271,2639.0,患者
1272,2640.0,患者
1273,2641.0,患者
1274,2642.0,患者
1275,2643.0,患者
1276,2644.0,患者
1277,2646.0,患者
1278,2647.0,患者
1279,2648.0,患者
1280,2649.0,患者
1281,2650.0,患者
1282,2651.0,患者
1283,2652.0,患者
1284,2653.0,患者
1285,2654.0,患者
1286,2655.0,患者
1287,2656.0,患者
1288,2658.0,患者
1289,2659.0,患者
1290,2661.0,患者
1291,2662.0,患者
1292,2663.0,患者
1293,2664.0,患者
1294,2665.0,患者
1295,2666.0,患者
1296,2667.0,患者
1297,2668.0,患者
1298,2669.0,患者
1299,2670.0,患者
1300,2671.0,患者
1301,2672.0,患者
1302,2673.0,患者
1303,2674.0,患者
1304,2675.0,患者
1305,2676.0,患者
1306,2677.0,患者
1307,2678.0,患者
1308,2679.0,患者
1309,2680.0,患者
1310,2681.0,患者
1311,2682.0,患者
1312,2683.0,患者
1313,2684.0,患者
1314,2685.0,患者
1315,2686.0,患者
1316,2687.0,患者
1317,2688.0,患者
1318,2689.0,患者
1319,2690.0,患者
1320,2691.0,患者
1321,2692.0,患者
1322,2693.0,患者
1323,2694.0,患者
1324,2695.0,患者
1325,2696.0,患者
1326,2697.0,患者
1327,2698.0,患者
1328,2699.0,患者
1329,2700.0,患者
1330,2701.0,患者
1331,2702.0,患者
1332,2703.0,患者
1333,2704.0,患者
1334,2705.0,患者
1335,2706.0,患者
1336,2707.0,患者
1337,2708.0,患者
1338,2709.0,患者
1339,2710.0,患者
1340,2711.0,患者
1341,2712.0,患者
1342,2714.0,患者
1343,2715.0,患者
1344,2716.0,患者
1345,2717.0,患者
1346,2718.0,患者
1347,2719.0,患者
1348,2720.0,患者
1349,2721.0,患者
1350,2722.0,患者
1351,2723.0,患者
1352,2724.0,患者
1353,2726.0,患者
1354,2727.0,患者
1355,2728.0,患者
1356,2729.0,患者
1357,2730.0,患者
1358,2731.0,患者
1359,2732.0,患者
